courses_id,text,
18,Identify situations that demand ethical responses involving data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (18,""Identify situations that demand ethical responses involving data science"");"
18,Develop the skills to respond creatively to critical ethics issues in data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (18,""Develop the skills to respond creatively to critical ethics issues in data science"");"
11,Collect and manage data to devise solutions to assigned research projects,"INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Collect and manage data to devise solutions to assigned research projects"");"
11,"Select, apply, and evaluate models, tools, and methods to address research projects","INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Select, apply, and evaluate models, tools, and methods to address research projects"");"
11,Interpret and assess results and evaluate the limitations of research findings,"INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Interpret and assess results and evaluate the limitations of research findings"");"
11,"Resolve group work allocation, leadership, and cooperation issues","INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Resolve group work allocation, leadership, and cooperation issues"");"
16,Use regression analysis to answer questions of interest in a wide variety of application environments,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use regression analysis to answer questions of interest in a wide variety of application environments"");"
16,Determine the most appropriate regression model for a given data set,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Determine the most appropriate regression model for a given data set"");"
16,Identify the assumptions and limitations of a given regression model,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Identify the assumptions and limitations of a given regression model"");"
16,Diagnose and remedy common problems with the regression model found in real data,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Diagnose and remedy common problems with the regression model found in real data"");"
16,Work with various data structures and primitive data types in the R programming language,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Work with various data structures and primitive data types in the R programming language"");"
16,"Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors","INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors"");"
16,Use the appropriate numerical and graphical summaries based on the question of interest and type of data,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use the appropriate numerical and graphical summaries based on the question of interest and type of data"");"
16,Use the statistical software R for regression analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use the statistical software R for regression analysis"");"
16,State appropriate context-specific conclusions from an analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""State appropriate context-specific conclusions from an analysis"");"
16,"Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences","INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences"");"
16,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects"");"
16,Describe the mathematical framework of regression models,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Describe the mathematical framework of regression models"");"
16,Describe the importance of assessing the assumptions and limitations for a given regression model,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Describe the importance of assessing the assumptions and limitations for a given regression model"");"
12,Build classification and regression models for a given data set using R statistical software,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build classification and regression models for a given data set using R statistical software"");"
12,Explain the statistical theory used in data mining that affects how each type of model makes predictions,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Explain the statistical theory used in data mining that affects how each type of model makes predictions"");"
12,"For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals"");"
12,"Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements"");"
12,Determine the most appropriate algorithm for a given data set based on the needs of the user,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Determine the most appropriate algorithm for a given data set based on the needs of the user"");"
12,Use visualization techniques to help users understand and interpret the data mining results,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use visualization techniques to help users understand and interpret the data mining results"");"
12,Implement KNN regression and classification models in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement KNN regression and classification models in R"");"
12,Build linear and nonlinear regression models in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build linear and nonlinear regression models in R"");"
12,Evaluate bias-variance tradeoff of linear regression method,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Evaluate bias-variance tradeoff of linear regression method"");"
12,"Implement LR, LDA, and QDA classification in R","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement LR, LDA, and QDA classification in R"");"
12,Implement cross-validation,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement cross-validation"");"
12,Understand the theory behind principal components,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Understand the theory behind principal components"");"
12,Use principal components transformation to visualize data,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use principal components transformation to visualize data"");"
12,"Use regularization (shrinkage, PCA, lasso) to improve regression accuracy","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use regularization (shrinkage, PCA, lasso) to improve regression accuracy"");"
12,Build a CART in R and use for both classification and regression,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build a CART in R and use for both classification and regression"");"
12,Build a random forest (RF) for classification and for regression in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build a random forest (RF) for classification and for regression in R"");"
12,Use an SVM for classification and regression in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use an SVM for classification and regression in R"");"
12,Use K-Means clustering to explore new data in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use K-Means clustering to explore new data in R"");"
12,Use hierarchical clustering to create and evaluate clusters in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use hierarchical clustering to create and evaluate clusters in R"");"
13,Probability review,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Probability review"");"
13,Use the elements of Bayes theorem in problem solving,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use the elements of Bayes theorem in problem solving"");"
13,Use univariate conjugate priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use univariate conjugate priors to analytically obtain the posterior distribution"");"
13,Use multivariate conjugate priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use multivariate conjugate priors to analytically obtain the posterior distribution"");"
13,Use non-informative priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use non-informative priors to analytically obtain the posterior distribution"");"
13,Formulate real problems using the fundamentals of statistical decision theory,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate real problems using the fundamentals of statistical decision theory"");"
13,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems"");"
13,Develop approximate solutions when the required assumptions for optimality in classification are not met,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Develop approximate solutions when the required assumptions for optimality in classification are not met"");"
13,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems"");"
13,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities"");"
13,Display Bayesian models using graphs,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Display Bayesian models using graphs"");"
13,Represent generative models using graphs,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Represent generative models using graphs"");"
13,Apply graphical methods to real problems in text analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply graphical methods to real problems in text analysis"");"
13,Apply simple sampling methods to approximate distributions,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply simple sampling methods to approximate distributions"");"
13,Devise Markov models for real problems with conditional dependence,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Devise Markov models for real problems with conditional dependence"");"
13,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling"");"
13,Apply MCMC to real and complex problems in Bayesian inference,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply MCMC to real and complex problems in Bayesian inference"");"
13,Apply MCMC to real and complex problems in classifications.,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply MCMC to real and complex problems in classifications."");"
13,Apply MCMC to real and complex problems in regressions,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply MCMC to real and complex problems in regressions"");"
13,Use Bayes factors for model selection,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use Bayes factors for model selection"");"
13,Formulate and use hierarchical models on real problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate and use hierarchical models on real problems"");"
13,Use information criteria for model selection,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use information criteria for model selection"");"
13,Formulate and use Bayesian model averaging on real problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate and use Bayesian model averaging on real problems"");"
13,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning"");"
13,Formulate problems with latent variables,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate problems with latent variables"");"
13,Formulate problems for solution by the EM algorithm,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate problems for solution by the EM algorithm"");"
13,Use Laplacian approximation to estimate probabilities in complex problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use Laplacian approximation to estimate probabilities in complex problems"");"
13,Formulate a variational approximation for a Bayesian inference problem,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate a variational approximation for a Bayesian inference problem"");"
13,Apply variational inference to problems with analytic solutions for comparisons of results,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply variational inference to problems with analytic solutions for comparisons of results"");"
13,Represent variational inference using the EM algorithm,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Represent variational inference using the EM algorithm"");"
13,Use optimization methods to obtain solutions for variational approximations to real problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use optimization methods to obtain solutions for variational approximations to real problems"");"
13,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply evaluation methods to assess the performance of optimizations to obtain variational approximations"");"
13,Apply Markov random field models to represent problems in Bayesian machine learning,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply Markov random field models to represent problems in Bayesian machine learning"");"
13,Formulate Hidden Markov Model (HMM) solution strategies,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate Hidden Markov Model (HMM) solution strategies"");"
13,Apply HMMs to problems in data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply HMMs to problems in data science"");"
13,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Identify the range of applicability of methods from Bayesian machine learning to real problems in data science."");"
13,Connect the many concepts discussed in the course to provide a foundation for continued learning,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Connect the many concepts discussed in the course to provide a foundation for continued learning"");"
14,"Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud"");"
14,"Formulate various supervised, unsupervised, and reinforcement learning models","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Formulate various supervised, unsupervised, and reinforcement learning models"");"
14,"Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems"");"
14,"Use NumPy to describe, identify, and process multi-dimensional arrays and matrices.","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Use NumPy to describe, identify, and process multi-dimensional arrays and matrices."");"
14,Identify the components of linear algebra most relevant to deep learning.,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Identify the components of linear algebra most relevant to deep learning."");"
14,Summarize numerical concerns for implementations of deep learning algorithms.,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Summarize numerical concerns for implementations of deep learning algorithms."");"
14,Design a simple architecture of a multilayer perceptron (MLP).,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Design a simple architecture of a multilayer perceptron (MLP)."");"
14,Understand how to design different activation functions to solve the vanishing/exploding gradient problem,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Understand how to design different activation functions to solve the vanishing/exploding gradient problem"");"
14,"Formulate several forms of regularization strategies to create a large, deep, regularized model","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Formulate several forms of regularization strategies to create a large, deep, regularized model"");"
14,Review applications of convolutional neural networks (CNNs),"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Review applications of convolutional neural networks (CNNs)"");"
14,Study the basics of recurrent neural networks (RNNs),"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Study the basics of recurrent neural networks (RNNs)"");"
14,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells"");"
14,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction"");"
14,Interpret hidden latent variables using perturbation and generate new examples,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Interpret hidden latent variables using perturbation and generate new examples"");"
14,"Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties"");"
14,Explore various applications of GANs and their recent advances,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Explore various applications of GANs and their recent advances"");"
14,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP),"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP)"");"
14,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs),"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs)"");"
14,"Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage"");"
14,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform"");"
14,"Deploy models to mobile apps, embedded devices, and web apps","INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Deploy models to mobile apps, embedded devices, and web apps"");"
14,Understand how adversarial attacks work,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Understand how adversarial attacks work"");"
14,Explore bias in data and algorithms,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Explore bias in data and algorithms"");"
14,Analyze the issues in uncertainty estimation,"INSERT INTO learning_objectives (courses_id,text) VALUES (14,""Analyze the issues in uncertainty estimation"");"
5,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition"");"
5,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology"");"
5,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas.","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas."");"
5,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)"");"
5,"Use critical thinking skills to understand, analyze, or solve business problems","INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Use critical thinking skills to understand, analyze, or solve business problems"");"
5,Communicate effectively in both speech and writing,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Communicate effectively in both speech and writing"");"
5,Collaborate effectively with peers,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Collaborate effectively with peers"");"
5,Formulate and ask insightful questions,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Formulate and ask insightful questions"");"
5,Engage appropriately with senior executives at an enterprise level,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Engage appropriately with senior executives at an enterprise level"");"